#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-10 16:39:19.851 0.016365 0.000609 0 11099 /98ec1fed-172e-45cc-91a9-30d29ba23370 200 GET
2017-12-10 16:39:19.852 0.015500 0.000219 0 11105 /19182d0d-10c0-483b-aaf6-6e4f01962c8e 200 GET
2017-12-10 16:39:19.934 0.001215 0.000065 0 11244 /1884ee8f-5f1d-4d4f-b734-1181a240aef8 200 GET
2017-12-10 16:39:20.072 0.010726 0.012084 0 1135698 /17f35939-2d66-4579-a4b9-90f502b9b992 200 GET
2017-12-10 16:39:20.114 0.000841 0.009925 0 1160089 /a542f2cb-f72f-4beb-a4bf-48ea1851022b 200 GET
2017-12-10 16:39:20.131 0.000979 0.000040 0 11606 /99b47760-f1b0-4622-8bb7-2d3341de68cd 200 GET
2017-12-10 16:39:20.180 0.001063 0.000082 0 11896 /9832ffb7-21f9-44bd-8104-80b866ad8e9e 200 GET
2017-12-10 16:39:20.183 0.000954 0.000054 0 12073 /884bfa2a-efbd-4f36-a508-96e470c91efa 200 GET
2017-12-10 16:39:20.203 0.001099 0.000070 0 12284 /77be72f1-aeac-4eff-9938-841d2903b0e0 200 GET
2017-12-10 16:39:20.280 0.001037 0.000054 0 12368 /0a6bce31-f80f-4df7-b244-40737467ed70 200 GET
2017-12-10 16:39:20.409 0.008884 0.000102 0 12871 /52d2219e-2aa8-47d7-893c-0687b6e230ad 200 GET
2017-12-10 16:39:20.438 0.006787 0.000067 0 12885 /ace86ff7-064c-426a-b830-54c2b3853e3d 200 GET
2017-12-10 16:39:20.511 0.009263 0.000803 0 131282 /716c0fce-9258-46be-ad60-3bf74ac0d208 200 GET
2017-12-10 16:39:20.533 0.011366 0.014523 0 1328922 /ba1bcf29-442b-474d-8317-24f3011961e2 200 GET
2017-12-10 16:39:20.589 0.001016 0.000063 0 13542 /370ca5db-dfc4-41dc-a990-ed218f37a80d 200 GET
2017-12-10 16:39:20.676 0.012556 0.014555 0 1359581 /b5088d2e-c80b-4f01-bc8e-4b5c2a43d778 200 GET
2017-12-10 16:39:20.686 0.025004 0.001900 0 138776 /fff6dd11-ac28-4164-849d-452c4810578e 200 GET
2017-12-10 16:39:20.829 0.012923 0.000100 0 13943 /a5663e86-a654-4c00-bd87-c8ce930035ca 200 GET
2017-12-10 16:39:20.840 0.011013 0.000094 0 14208 /67e18565-45af-4608-8a13-cdadecdd5c6c 200 GET
2017-12-10 16:39:20.850 0.003557 0.000066 0 14276 /bb3fcfc7-12f7-48c4-b691-258a26a40cb1 200 GET
2017-12-10 16:39:20.852 0.003686 0.000253 0 14492 /818507bc-d069-49fd-b70c-aba6e12d6290 200 GET
2017-12-10 16:39:20.851 0.004325 0.001680 0 143076 /2a4cf9fc-4c59-4833-8cb8-93a8151dfe7a 200 GET
2017-12-10 16:39:20.934 0.001403 0.000219 0 14909 /50d029c9-4273-4ffa-a3d5-992c14401f04 200 GET
2017-12-10 16:39:21.072 0.005013 0.000086 0 15181 /bbb601bc-d59a-42e4-ab0e-6868d6e68d5f 200 GET
2017-12-10 16:39:21.114 0.001031 0.000065 0 15298 /1489b2f9-1845-45bf-8fb1-6dbeba55df6e 200 GET
2017-12-10 16:39:21.132 0.003845 0.000062 0 15394 /e9b02caa-6767-48db-9016-82d3c2948357 200 GET
2017-12-10 16:39:21.180 0.001178 0.000131 0 15533 /57fea50c-3a08-46a3-b3fd-c3e1b135f586 200 GET
2017-12-10 16:39:21.183 0.002030 0.027461 0 1639405 /63b77fce-7182-4986-9db1-0cd70b437043 200 GET
2017-12-10 16:39:21.203 0.009555 0.000223 0 16958 /eac4fb6c-6304-4b8f-b354-4c340d96e635 200 GET
2017-12-10 16:39:21.280 0.001327 0.000110 0 17294 /1d42c7d5-263c-434a-80f9-4417a82a8748 200 GET
2017-12-10 16:39:21.409 0.001837 0.001057 0 173308 /3b9e9a26-5ad1-42ac-8c24-e8ffba807c1b 200 GET
2017-12-10 16:39:21.438 0.001215 0.000096 0 17808 /05964ebc-e965-4358-9982-d3a9c6b1e906 200 GET
2017-12-10 16:39:21.511 0.001199 0.000155 0 17986 /e2e5b0d1-19c6-4f47-98b9-4017786845f3 200 GET
2017-12-10 16:39:21.533 0.012916 0.021365 0 1812657 /a70085d6-1c17-477e-8b1c-6e663db8e34c 200 GET
2017-12-10 16:39:21.589 0.001417 0.000109 0 18707 /e38144ef-e369-4e71-9caa-418888b24ffc 200 GET
2017-12-10 16:39:21.676 0.008424 0.001090 0 190425 /87ac121c-a0dc-4407-b4e7-6db4fb83c0bd 200 GET
2017-12-10 16:39:21.686 0.001209 0.000098 0 19456 /29be230b-3524-4a91-86c7-1d6c8752f839 200 GET
2017-12-10 16:39:21.829 0.008278 0.001435 0 202606 /25ee7110-bd96-4db3-bef6-65d1fb5f357e 200 GET
2017-12-10 16:39:21.840 0.002287 0.001650 0 234308 /f4f5e3bf-70f9-4e88-a67f-79423abe92da 200 GET
2017-12-10 16:39:21.851 0.002270 0.001749 0 252127 /ef53f416-a38d-4612-a03c-6c33acac4208 200 GET
2017-12-10 16:39:21.851 0.013917 0.000140 0 26529 /6bca10eb-3499-423e-a984-553329a5bb8f 200 GET
2017-12-10 16:39:21.852 0.023503 0.001058 0 26785 /d46c9c38-ebd6-4696-b4b2-136d7c8c86e6 200 GET
2017-12-10 16:39:21.934 0.029603 0.000169 0 27784 /0f728024-434b-4799-9b48-b5c36de2c042 200 GET
